0.012,0.04,0.110444
0.012,0.07,0.098294
0.012,0.1,0.092872
0.016,0.04,0.125074
0.016,0.07,0.113886
0.016,0.1,0.111172
0.018,0.04,0.134468
0.018,0.07,0.12554
0.018,0.1,0.118748
0.012,0.04,0.107366
0.012,0.1,0.092666
0.016,0.07,0.112972
0.018,0.04,0.131106
0.018,0.1,0.114686
0.012,0.07,0.095438
0.016,0.04,0.122648
0.016,0.1,0.109686
0.018,0.07,0.122934
0.013,0.04,0.11828
0.013,0.07,0.103346
0.013,0.1,0.097366
0.014,0.04,0.122858
0.014,0.07,0.112956
0.015,0.04,0.126472
0.015,0.1,0.112338
0.017,0.04,0.127518
0.017,0.1,0.11221
0.019,0.04,0.138532
0.019,0.07,0.132974
0.019,0.1,0.119
0.020,0.04,0.140576
0.020,0.1,0.12851
0.021,0.04,0.15427
0.021,0.07,0.132662
0.021,0.1,0.121722
